Nr/ Br,Kodi i Komunes Opstinski Kod,Komuna/Opstina,Qendra e Votimit 2014 Biracki Centar 2014,Qyteti/Vendi Grad/Mesto,Lokacioni detal,Detaljna Lokacija,,
4,21,Skenderaj/Srbica,2103b,Likofc/Likovac,"Shkolla ""F.Rama""","Škola ""F.Rama""",,
5,21,Skenderaj/Srbica,2104b,Aqarevë/Ovćarevo,"Shkolla ""Ismet Rrahmani""","Škola ""Ismet Rrahmani""",,
6,21,Skenderaj/Srbica,2105b,Prekaz i Epërm/Gornje Prekaze,"Shkolla ""Azem Bejta""","Škola ""Azem Bejta""",,
7,21,Skenderaj/Srbica,2106b,Klinë e Epërme/Gornja Klina,"Shkolla ""Idriz Berani""","Škola ""Idriz Berani""",,
8,21,Skenderaj/Srbica,2107b,Polac i Ri/Novo Poljance,"Shkolla ""Drenica""","Škola ""Drenica""",,
9,21,Skenderaj/Srbica,2108b,Qirez/Čirez,"Shkolla ""Dëshmoret e Qiqavices""","Škola ""Dëshmoret e Qiqavices""",,
10,21,Skenderaj/Srbica,2109b,Krasaliq/Krasalić,"Shkolla ""Pavarësija""","Škola ""Pavarësija""",,
11,21,Skenderaj/Srbica,2110b,Vojnik/Vocnjak,"Shkolla ""Skender Skenderi""","Škola ""Skender Skenderi""",,
12,21,Skenderaj/Srbica,2111b,Banjë/Banja,"Shkolla Fillore """,Osnovna Škola,,
13,21,Skenderaj/Srbica,2112b,Kladernicë/Kladernica,"Shkolla ""Migjeni""","Škola ""Migjeni""",,
14,21,Skenderaj/Srbica,2113b,Leqinë/Leoćina,"Shkolla ""Ali Kelmendi""","Škola ""Ali Kelmendi""",,
15,21,Skenderaj/Srbica,2114b,Runik/Rudnik,"Shkolla ""Shote Galica""","Škola ""Shote Galica""",,
16,21,Skenderaj/Srbica,2115b,Llaushë/Lauša,"Shkolla Fillore ""Halit Geci""","Osnovna Škola ""Halit Geci""",,
17,21,Skenderaj/Srbica,2116b,Rezallë/Rezale,"Shkolla ""Malush Ahmeti""","Škola ""Malush Ahmeti""",,
18,21,Skenderaj/Srbica,2117b,Turiçevc/Turičevac,"Shkolla ""Abedin Rexha""","Škola ""Abedin Rexha""",,
19,21,Skenderaj/Srbica,2119b,Suhogerrle/Surigane,"Shkolla Fillore ""Legjoni Spanjoll""","Osnovna Škola ""Legjoni Spanjoll""",,
20,21,Skenderaj/Srbica,2120b,Suhogerrle/Surigane,"Shkolla Fillore ""Shote Galica""","Osnovna Škola ""Shote Galica""",,
21,21,Skenderaj/Srbica,2121b,Abri e Poshtme/Donja Obrinje,"Shkolla Fillore ""Kuvendi I Drenices""","Osnovna Škola ""Kuvendi I Drenices""",,
22,21,Skenderaj/Srbica,2122b,Makermal/Makrmalj,"Shkolla Fillore ""Elena Gjika""","Osnovna Škola ""Elena Gjika""",,
23,21,Skenderaj/Srbica,2123b,Izbice/Izbica,"Shkolla Fillore ""Skender Skenderi""","Osnovna Škola ""Skender Skenderi""",,
24,21,Skenderaj/Srbica,2124b,Kopilic I Poshtem/Donji Obilic,"Shkolla Fillore ""Abedin Rexha""","Osnovna Škola ""Abedin Rexha""",,
25,21,Skenderaj/Srbica,2125b,Buroje/Brocna,"Shkolla Fillore ""Abedin Rexha""","Osnovna Škola ""Abedin Rexha""",,
26,21,Skenderaj/Srbica,2126b,Kotorr/Kotore,"Shkolla Fillore ""Vellezerit Frasheri""","Osnovna Škola ""Vellezerit Frasheri""",,
27,21,Skenderaj/Srbica,2127b,Ternac/Ternafce,"Shkolla Fillore "" Idriz Berani ""","Osnovna Škola "" Idriz Berani """,,
28,21,Skenderaj/Srbica,2128b,Tushilje/Tushilla,"Shkolla Fillore ""Halit Geci""","Osnovna Škola ""Halit Geci""",,
29,21,Skenderaj/Srbica,2129b,Rakinice/Rakitnica,"Shkolla Fillore ""Halit Geci""","Osnovna Škola ""Halit Geci""",,
30,21,Skenderaj/Srbica,2130b,Prekaz I Ulte/Donji Prekaz,"Shkolla Fillore ""Azem Bejta""","Osnovna Škola ""Azem Bejta""",,
31,21,Skenderaj/Srbica,2131b,Lubavec/Ljubovac,"Shkolla Fillore ""Enver Haliti""","Osnovna Škola ""Enver Haliti""",,
32,21,Skenderaj/Srbica,2132b,Baksi/Baks,"Shkolla Fillore ""Pavarësija""","Osnovna Škola ""Pavarësija""",,
1,22,Shtime/Štimlje,2201e,Shtime/Štimlje,"Shkolla e Mesme ""Naim Frashëri""","Srednja Škola ""Naim Frashëri""",,
2,22,Shtime/Štimlje,2201x,Shtime/Štimlje,"Shkolla ""Emin Duraku""","Škola ""Emin Duraku""",,
3,22,Shtime/Štimlje,2202e,Petrovë/Petrovo,"Shkolla Fillore ""Bajram Curri""","Osnovna Škola ""Bajram Curri""",,
4,22,Shtime/Štimlje,2203e,Reçak/Račak,"Shkolla Fillore ""Skenderbeu""","Osnovna Škola ""Skenderbeu""",,
5,22,Shtime/Štimlje,2204e,Muzeqine/Mužičane,"Shkolla Fillore ""Lasgush Poradeci""","Osnovna Škola ""Lasgush Poradeci""",,
6,22,Shtime/Štimlje,2206e,Godanc i Poshtëm/Donje Godance,"Shkolla Fillore ""Hasan Prishtina""","Osnovna Škola ""Hasan Prishtina""",,
7,22,Shtime/Štimlje,2207e,Caralevë/Crnoljevo,"Shkolla Fillore ""Abdullah Shabani""","Osnovna Škola ""Abdullah Shabani""",,
8,22,Shtime/Štimlje,2209e,Pjetërshticë/Petraštica,Shkolla Fillore ''Idriz Ajeti'',Osnovna Škola ''Idriz Ajeti'',,
9,22,Shtime/Štimlje,2210e,Topille/Topilla,"Shkolla Fillore ""Bajram Curri""","Osnovna Škola ""Bajram Curri""",,
10,22,Shtime/Štimlje,2211e,Karaqice/Karacica,"Shkolla Fillore ""Idriz Ajeti""","Osnovna Škola ""Idriz Ajeti""",,
11,22,Shtime/Štimlje,2212e,Zborc,"Shkolla Fillore ""Avdullah Shabani""","Osnovna skola ""Avdullah Shabani""",,
1,23,Štrpce/Shtërpcë,2301d,Drajkovc/Drajkovce,Qendra e re kulturore,Novi dom kulture,,
2,23,Štrpce/Shtërpcë,2302d,Biti e Poshtmë/Donja Bitinja,"Shkolla Fillore ""Staja Marković""","Osnovna Škola ""Staja Marković""",,
3,23,Štrpce/Shtërpcë,2303d,Shtërpcë/Štrpce,"Shkolla Fillore ""Staja Marković""","Osnovna Škola ""Staja Marković""",,
4,23,Štrpce/Shtërpcë,2304d,Sevce/Sevce,"Shkolla Fillore ""Šarski Odred""","Osnovna Škola ""Šarski Odred""",,
5,23,Štrpce/Shtërpcë,2305d,Firajë/Firaja,"Shkolla Fillore ""Osman Mani""","Osnovna Škola ""Osman Mani""",,
6,23,Štrpce/Shtërpcë,2306d,Jazhincë/Jažince,"Shkolla Fillore ""Šarski odred""","Osnovna Škola ""Šarski odred""",,
7,23,Štrpce/Shtërpcë,2308d,Gotovusha/Gotovuša,"Shkolla Fillore ""Rajko Urošević""","Osnovna Škola ""Rajko Urošević""",,
8,23,Štrpce/Shtërpcë,2309d,Brod/Brod,"Shkolla Fillore ""Rasim Cokli""","Osnovna Škola ""Rasim Cokli""",,
9,23,Štrpce/Shtërpcë,2310d,Vrbeshtice/Vrbeštica,"Shkolla Fillore ""Šarski odred""","Osnovna Škola ""Šarski odred""",,
1,24,Suharekë/Suva Reka,2401a,Suharekë/Suva Reka,"Gjimnazi ""Jeta e Re""","Gimnazia ""Jeta e Re""",,
2,24,Suharekë/Suva Reka,2402a,Sallagrazhdë/Selogražde,"Shkolla ""Gjergj Kastrioti""","Škola ""Gjergj Kastrioti""",,
3,24,Suharekë/Suva Reka,2403a,Mushtisht/Mušutište,"Shkolla ""Edit Durham""","Škola ""Edit Durham""",,
4,24,Suharekë/Suva Reka,2404a,Savrovë/Savrovo,"Shkolla Fillore ""Iliria""","Osnovna Škola ""Iliria""",,
5,24,Suharekë/Suva Reka,2405a,Grejkoc/Grejkovce,"Shkolla Fillore ""Dëshmorët e Greikocit""","Osnovna Škola ""Dëshmorët e Greikocit""",,
6,24,Suharekë/Suva Reka,2406a,Gelancë/Geljance,"Shkolla ""Drita""","Škola ""Drita""",,
7,24,Suharekë/Suva Reka,2407a,Gjinoc/Djinovce,"Shkolla ""Migjeni""","Škola ""Migjeni""",,
8,24,Suharekë/Suva Reka,2408a,Suharekë/Suva Reka,"Shkolla Teknike ""Skënder Luarasi""","Tehnićka Škola ""Skënder Luarasi""",,
9,24,Suharekë/Suva Reka,2409a,Vraniç/Vranić,"Shkolla ""Dëshmorët e Kombit""","Škola ""Dëshmorët e Kombit""",,
10,24,Suharekë/Suva Reka,2410a,Reçan/Rečane,"Shkolla ""Shkëndija""","Škola ""Shkëndija""",,
11,24,Suharekë/Suva Reka,2411a,Mohlan/Movljane,"Shkolla ""Naum Veqilharxhi""","Škola ""Naum Veqilharxhi""",,
12,24,Suharekë/Suva Reka,2412a,Budakovë/Budakovo,"Shkolla ""Lidhja e Prizrenit""","Škola ""Lidhja e Prizrenit""",,
13,24,Suharekë/Suva Reka,2413a,Sopijë/Sopina,"Shkolla ""11 Marsi""","Škola ""11 Marsi""",,
14,24,Suharekë/Suva Reka,2414a,Leshan/Lešane,"Shkolla ""V.P. Shkodrani""","Škola ""V.P. Shkodrani""",,
15,24,Suharekë/Suva Reka,2415a,Reshtan/Reštane,"Shkolla ""Flamuri i Arbërit""","Škola ""Flamuri i Arbërit""",,
16,24,Suharekë/Suva Reka,2416a,Nepërbishtë/Neprebište,"Shkolla ""Rilindja""","Škola ""Rilindja""",,
17,24,Suharekë/Suva Reka,2417a,Studençan/Studenčane,"Shkolla ""Kongresi i Manastirit""","Škola ""Kongresi i Manastirit""",,
18,24,Suharekë/Suva Reka,2418a,Samadrazhë/Samodreža,"Shkolla ""Dituria""","Škola ""Dituria""",,
19,24,Suharekë/Suva Reka,2419a,Dobërdolan/Dobrodeljane,"Shkolla ""28 Nëntori""","Škola ""28 Nëntori""",,
20,24,Suharekë/Suva Reka,2420a,Nishor/Nišor,"Shkolla ""Bajram Curri""","Škola ""Bajram Curri""",,
21,24,Suharekë/Suva Reka,2421a,Semetishtë/Semetište,"Shkolla ""Hasan Prishtina""","Škola ""Hasan Prishtina""",,
22,24,Suharekë/Suva Reka,2422a,Peqan/Pećane,"Shkolla ""Dëshmorët e Tivarit""","Škola ""Dëshmorët e Tivarit""",,
23,24,Suharekë/Suva Reka,2423a,Sllapuzhan/Slapužane,"Shkolla ""Dëshmorët e Tivarit""","Škola ""Dëshmorët e Tivarit""",,
24,24,Suharekë/Suva Reka,2424a,Duhël/Dulje,"Shkolla ""Sadri Dula""","Škola ""Sadri Dula""",,
25,24,Suharekë/Suva Reka,2425a,Grejqefc/Grejčevce,"Shkolla ""Sadri Dula""","Škola ""Sadri Dula""",,
26,24,Suharekë/Suva Reka,2426a,Bllacë/Blace,"Shkolla ""Ramë Bllaca""","Škola ""Ramë Bllaca""",,
27,24,Suharekë/Suva Reka,2427a,Javori/javor,"Shkolla ""Ismet Jashari - Kumanova""","Škola ""Ismet Jashari - Kumanova""",,
28,24,Suharekë/Suva Reka,2428a,Maçitevë/Mačitevo,"Shkolla ""Besim Ndrecaj""","Škola ""Besim Ndrecaj""",,
29,24,Suharekë/Suva Reka,2429a,Krushicë e Epërme.Gornje Krusica,"Shkolla Fillore ""Naum Veqilharxhi""","Osnovna skola""Naum Veqihaxhi""",,
30,24,Suharekë/Suva Reka,2430a,Bukosh/Bukoš,"Shkolla Fillore ""Vëllezërit Frashëri""","Osnovna Škola ""Vëllezërit Frashëri""",,
31,24,Suharekë/Suva Reka,2431a,Termi/Trnje,"Shkolla Fillore ""Vaso Pashë Shkodrani""","Osnovna Škola ""Vaso Pashë Shkodrani""",,
32,24,Suharekë/Suva Reka,2432a,Shirokë/Siroko,"Shkolla Fillore ""17 Shkurti""","Osnovna skola ""17 Shkurti""",,
1,25,Ferizaj/Uroševac,2501d,Ferizaj/Uroševac,"Shkolla ""Tefik Çanga""","Škola ""Tefik Çanga""",,
2,25,Ferizaj/Uroševac,2501x,Ferizaj/Uroševac,"Shkolla e muzikes ""Çesk Zadea""","Škola ""Çesk Zadea""",,
3,25,Ferizaj/Uroševac,2501y,Ferizaj/Uroševac,"Shkolla Fillore ""Ahmet Hoxha""","Osnovna Škola ""Ahmet Hoxha""",,
4,25,Ferizaj/Uroševac,2502d,Ferizaj/Uroševac,"Shkolla e Mesme (ish Gjimnazi) ""Kuvendi i Arbërit""","Srednja Škola (bivša Gimnazija) ""Kuvendi i Arbërit""",,
5,25,Ferizaj/Uroševac,2502x,Ferizaj/Uroševac,"Shkolla ""Gjon Serreçi""","Škola ""Gjon Serreçi""",,
6,25,Ferizaj/Uroševac,2503d,Ferizaj/Uroševac,"Shkolla e Mesme ""Faik Konica""","Srednja Škola ""Faik Konica""",,
7,25,Ferizaj/Uroševac,2503x,Ferizaj/Uroševac,"Shkolla Fillore ""Jeronim De Rada""","Osnovna Škola ""Jeronim De Rada""",,
8,25,Ferizaj/Uroševac,2504d,Ferizaj/Uroševac,"Sh.M.Bujqesore""Zenel Hajdini""","S-Š Poljoprivrede ""Zenel Hajdini""",,
9,25,Ferizaj/Uroševac,2505d,Nerodime e Epërme/Gornje Nerodimlje,"Shkolla Fillore ""Konstantin Kristoforidhi""","Osnovna Škola ""Konstantin Kristoforidhi""",,
10,25,Ferizaj/Uroševac,2506d,Pleshinë/Donja Plešina,"Shkolla Fillore ""Pesë Dëshmoret e UÇK""","Osnovna Škola ""Pesë Dëshmoret e UÇK""",,
11,25,Ferizaj/Uroševac,2507d,Greme/Grebno,"Shkolla Fillore ""Jeta e Re""","Osnovna Škola ""Jeta e Re""",,
12,25,Ferizaj/Uroševac,2508d,Gaçkë/Gatnje,"Shkolla Fillore ""Imri Halili""","Osnovna Škola ""Imri Halili""",,
13,25,Ferizaj/Uroševac,2509d,Varosh/Varoš Selo,"Shkolla Fillore ""Visar Dodani""","Osnovna Škola ""Visar Dodani""",,
14,25,Ferizaj/Uroševac,2510d,Komogllavë/Kamena Glava,"Shkolla Fillore ""Besim Rexhepi""","Osnovna Škola ""Besim Rexhepi""",,
15,25,Ferizaj/Uroševac,2511d,Sojevë/Sojevo,"Shkolla Fillore ""Ramadan Rexhepi""","Osnovna Škola ""Ramadan Rexhepi""",,
16,25,Ferizaj/Uroševac,2512d,Tankosiq/Tankosić,"Shkolla Fillore ""Dituria""","Osnovna Škola ""Dituria""",,
17,25,Ferizaj/Uroševac,2513d,Talinoc i Muhaxherëve/Muhadzer Talinovac,"Shkolla Fillore ""Dy Dëshmorët""","Osnovna Škola ""Dy Dëshmorët""",,
18,25,Ferizaj/Uroševac,2514d,Rahovicë/Rahovica,"Shkolla Fillore ""Kemail Hetemi""","Osnovna Škola ""Kemail Hetemi""",,
19,25,Ferizaj/Uroševac,2515d,Koshare/Košare,"Shkolla Fillore ""Dëshmoret e Koshares""","Osnovna Škola ""Dëshmoret e Koshares""",,
20,25,Ferizaj/Uroševac,2516d,Mirash/Miraš,"Shkolla Fillore ""Ali Hadri""","Osnovna Škola ""Ali Hadri""",,
21,25,Ferizaj/Uroševac,2523d,Lloshkobaja/Lasko bare,"Shkolla Fillore""Billal Shala""","Osnovna Škola""Billal Shala """,,
22,25,Ferizaj/Uroševac,2524d,Surqine/Svrcina,"Shkolla Fillore ""Liman Rekaj""","Osnovna Škola ""Liman Rekaj""",,
23,25,Ferizaj/Uroševac,2525d,Zaskoku/Zaskok,"Shkolla Fillore ""Naim Frasheri""","Osnovna Škola ""Naim Frasheri""",,
24,25,Ferizaj/Uroševac,2526d,Softaj/Softovic,"Shkolla Fillore ""Abetarja""","Osnovna Škola ""Abetarja""",,
25,25,Ferizaj/Uroševac,2527d,Jezerc/Jezerce,"Shkolla Fillore ""Skenderbeu""","Osnovna Škola ""Skenderbeu""",,
26,25,Ferizaj/Uroševac,2528d,Fshati i Vjetër/Staro Selo,"Shkolla Fillore ""Muharrem Shemsedini""","Osnovna skola "" Muharrem Shemsedini""",,
27,25,Ferizaj/Uroševac,2529d,Mirosalë/Mirosavlje,"Shkolla Fillore ""Mejdi Xhaferi""","Osnovna skola""Mejdi Xhaferi""",,
28,25,Ferizaj/Uroševac,2530d,Rakaj/Raka,"Shkolla Fillore ""Dardania""","Osnovna skola ""Dardania""",,
29,25,Ferizaj/Uroševac,2531d,Cernillë/Crnilo,"Shkolla Fillore ""Halit Ibishi""","Osnovna skola ""Halit Ibishi""",,
30,25,Ferizaj/Uroševac,2532d,Ternë/Trn,"Shkolla e ""Pa Emeruar""","Skolla 'Bey imena""",,
31,25,Ferizaj/Uroševac,2533d,Prelez i Jerlive/Jerli Prelez,"Shkolla Fillore ""Ismail Qemaili""","Osnovna skola ""Ismail Qemaili""",,
32,25,Ferizaj/Uroševac,2534d,Zllatar/Zlatare,"Shkolla Fillore ""4 Prilli ""","Osnovna skola ""4 Prilli""",,
1,26,Viti/Vitina,2601d,Viti/Vitina,"Shkolla e Mesme ""Kuvendi i Lezhës""","Srednja Škola ""Kuvendi i Lezhës""",,
2,26,Viti/Vitina,2601x,Viti/Vitina,"Shkolla e Mesme ""Januz Zejnullahu""","Srednja Škola ""Januz Zejnullahu""",,
3,26,Viti/Vitina,2602d,Debelldeh/Debelde,"Shkolla Fillore ""Ndre Mjeda""","Osnovna Škola ""Ndre Mjeda""",,
4,26,Viti/Vitina,2603d,Stubëll e Epërme/Gornja Stubla,"Shkolla Fillore ""Dom Mikel Tarabulluzi""","Osnovna Škola ""Dom Mikel Tarabulluzi""",,
5,26,Viti/Vitina,2604d,Beguncë/Begunce,"Shkolla Fillore ""Ahmet Hajdari""","Osnovna Škola ""Ahmet Hajdari""",,
6,26,Viti/Vitina,2605d,Pozharan/Požaranje,"Shkolla Fillore ""Halil Alidema""","Osnovna Škola ""Halil Alidema""",,
7,26,Viti/Vitina,2606d,Zhiti/Žitinje,"Shkolla Fillore ""Safet Rexhepi""","Osnovna Škola ""Safet Rexhepi""",,
8,26,Viti/Vitina,2607d,Sllatinë e Epërme/Gornja Slatina,"Shkolla Fillore ""Nijazi Rexhepi""","Osnovna Škola ""Nijazi Rexhepi""",,
9,26,Viti/Vitina,2608d,Radivojc/Radivojce,"Shkolla Fillore ""Nazmi Pajaziti""","Osnovna Škola ""Nazmi Pajaziti""",,
10,26,Viti/Vitina,2609d,Gjylekare/Đelekare,"Shkolla Fillore ""Kenan Halimi""","Osnovna Škola ""Kenan Halimi""",,
11,26,Viti/Vitina,2610d,Remnik/Ribnik,"Shkolla Fillore ""Hasan Alia""","Osnovna Škola ""Hasan Alia""",,
12,26,Viti/Vitina,2611d,Vërban/Vrban,"Shkolla Fillore ""28 Nëntori""","Osnovna Škola ""28 Nëntori""",,
13,26,Viti/Vitina,2616d,Viti/Vitina Town,"Shkolla Fillore ""Bafti Haxhiu""","Osnovna Škola ""Bafti Haxhiu""",,
14,26,Viti/Vitina,2617d,Smirë/Smira,"Shkolla Fillore "" Deshmoret e 5 Prillit""","Osnovna Škola "" Deshmoret e 5 Prillit""",,
15,26,Viti/Vitina,2620d,Terpezë/Terpeza,"Shkolla Fillore ""Hysen Tërpeza""","Osnovna Škola ""Hysen Tërpeza""",,
16,26,Viti/Vitina,2621d,Kabash/Kabaš,"Shkolla Fillore ""Ndre Mjeda""","Osnovna Škola ""Ndre Mjeda""",,
17,26,Viti/Vitina,2622d,Binçë/Binač,"Shkolla Fillore ""Ndre Mjeda""","Osnovna Škola ""Mladen Markovic""",,
18,26,Viti/Vitina,2623d,Lubishte/Ljubiste,"Shkolla Fillore ""Vellezerit Gervalla""","Osnovna Škola ""Vellezerit Gervalla""",,
19,26,Viti/Vitina,2625d,TerstenikTrstenik,"Shkolla Fillore ""Njazi Rexhepi""","Osnovna Škola ""Njazi Rexhepi""",,
20,26,Viti/Vitina,2626d,Ramjan/Ramjane,"Shkolla Fillore ""Skender Emerllahu""","Osnovna Škola ""Skender Emerllahu""",,
21,26,Viti/Vitina,2627d,Sadovine e Jerlive/Jerli Sadovina,"Shkolla Fillore "" 28 Nëntori""","Osnovna Škola "" 28 Nëntori""",,
22,26,Viti/Vitina,2628d,Budrike e Eperme/Gornja Budrika,"Shkolla Fillore ""Nazmi Pajaziti""","Osnovna Škola ""Nazmi Pajaziti""",,
23,26,Viti/Vitina,2629d,Sllatine e Poshtme/Donja Slatina,"Shkolla Fillore ""Njazi Rexhepi""","Osnovna Škola ""Njazi Rexhepi""",,
24,26,Viti/Vitina,2630d,Drobeshi/Drobes,"Shkolla Fillore ""Dëshmoret e Vitisë""","Osnovna Škola ""Dëshmoret e Vitisë""",,
25,26,Viti/Vitina,2631d,Gushice/Gusica,"Shkolla Fillore ""Mirali Sejdiu""","Osnovna Škola ""Mirali Sejdiu""",,
26,26,Viti/Vitina,2632d,Germove/Grmovo,"Shkolla Fillore ""Mirali Sejdiu""","Osnovna Škola ""Mirali Sejdiu""",,
27,26,Viti/Vitina,2633d,Sadovinë e Çerkezëve/Čerkez Sadovina,"Shkolla Fillore ""Nijazi Rexhepi""","Osnovna skola ""Nijazi Rexhepi""",,
1,27,Vushtrri/Vučitrn,2701b,Vushtrri/Vučitrn,"Shkolla ""Lutfi Musiqi""","Škola ""Lutfi Musiqi""",,
2,27,Vushtrri/Vučitrn,2702b,Vushtrri/Vučitrn,"Shkolla SH.M.U 1""","Škola ""SH.M.U !""",,
3,27,Vushtrri/Vučitrn,2702x,Vushtrri/Vučitrn,"Shkolla ""Naim Frashëri""","Škola ""Naim Frashëri""",,
4,27,Vushtrri/Vučitrn,2703b,Dubofc/Dubovac,"Shkolla ""Azem Bejta""","Škola ""Azem Bejta""",,
5,27,Vushtrri/Vučitrn,2704b,Vushtrri/Vučitrn (S-1),"Shkolla SH.M.U 2""","Škola ""SH.M.U 2""",,
6,27,Vushtrri/Vučitrn,2705b,Skromë/Skrovna,"Shkolla ""Rrustem Hyseni""","Škola ""Rrustem Hyseni""",,
7,27,Vushtrri/Vučitrn,2706b,Druar/Drvare,"Shkolla ""Abdyl Frashëri""","Škola ""Abdyl Frashëri""",,
8,27,Vushtrri/Vučitrn,2707b,Dumnicë e Epërme/Gornja Dumnica,"Shkolla ""Bajram Curri""","Škola ""Bajram Curri""",,
9,27,Vushtrri/Vučitrn,2708b,Nedakofc/Nedakovac,"Shkolla Fillore ""Nedakofc""","Škola ""Nedeakofc""",,
10,27,Vushtrri/Vučitrn,2709b,Novolan/Nevoljane,"Shkolla ""Emin Duraku""","Škola ""Emin Duraku""",,
11,27,Vushtrri/Vučitrn,2710b,Stanofc i Epërm/Gornje Stanovce,"Shkolla ""Migjeni""","Škola ""Migjeni""",,
12,27,Vushtrri/Vučitrn,2711b,Pantinë/Pantina,"Shkolla ""Gj. K. Skenderbeu""","Škola ""Gj. K. Skenderbeu""",,
13,27,Vushtrri/Vučitrn,2712b,Samadrexhë/Samodreza,"Shkolla ""Lumni Surdulli""","Škola ""Lumni Surdulli""",,
14,27,Vushtrri/Vučitrn,2713b,Smrekovnicë/Smrekovnica,"Shkolla ""Enver Hadri""","Škola ""Enver Hadri""",,
15,27,Vushtrri/Vučitrn,2714b,Maxhunaj/Novo Selo Madjunsko,"Shkolla ""Rilindja""","Škola ""Rilindja""",,
16,27,Vushtrri/Vučitrn,2715b,Gojbulë/Gojbulja,"Shkolla ""21 Novembar""","Škola ""21 Novembar""",,
17,27,Vushtrri/Vučitrn,2716b,Prelluzhë/Prilužje,"Shkolla ""Vuk Karadžić""","Škola ""Vuk Karadžić""",,
18,27,Vushtrri/Vučitrn,2717b,Strofc/Strovce,"Shkolla ""Liria""","Škola ""Liria""",,
19,27,Vushtrri/Vučitrn,2719b,Gracë/Grace,"Shkolla ""Sveti Sava""","Škola ""Sveti Sava""",,
20,27,Vushtrri/Vučitrn,2723b,Ashlan/Aslan,"Shkolla ""Mustafë Shyti""","Škola ""Mustafë Shyti""",,
21,27,Vushtrri/Vučitrn,2724b,Banjskë/Banjska,"Shkolla Fillore ""21 Novembar""","Osnovna Škola ""21 Novembar""",,
22,27,Vushtrri/Vučitrn,2725b,Zhilivode/Zilivoda,"Shkolla Fillore ""Zhilivoda""","Osnovna Škola ""Zhilivoda""",,
23,27,Vushtrri/Vučitrn,2726b,Sllatine/Slatina,"Shkolla Fillore ""Sllatina""","Osnovna Škola ""Mustaf Venhari""",,
24,27,Vushtrri/Vučitrn,2727b,Shtitarice/Stitarica,"Shkolla Fillore ""Bahri Kuqi""","Osnovna Škola ""Bahri Kuqi""",,
25,27,Vushtrri/Vučitrn,2728b,Lumëmadh/Velika Reka,"Shkolla Fillore ""Lumëmadh""","Osnovna skola""Lumëmadh""",,
26,27,Vushtrri/Vučitrn,2729b,Stanofc i Poshëm/Donje Stanovce,"Shkolla Fillore ""Nazmi Zhegrova""","Osnovna skola""Nazmi Zhegrova""",,
1,28,Zubin Potok/Zubin Potok,2802b,Zubin Potok,"Shkolla ""Jovan Cvijić""","Škola ""Jovan Cvijić""",,
2,28,Zubin Potok/Zubin Potok,2803b,Crepulë/Crepulja,"Shkolla Fillore ""Jovan Cvijić""","Osnovna Škola ""Jovan Cvijić""",,
3,28,Zubin Potok/Zubin Potok,2804b,Bubë/Bube,"Shkolla Fillore ""Petar Kocić""","Osnovna Škola ""Petar Kocić""",,
4,28,Zubin Potok/Zubin Potok,2805b,Lluqkarekë/Lučka Reka,"Shkolla Fillore ""Petar Kocić""","Osnovna Škola ""Petar Kocić""",,
5,28,Zubin Potok/Zubin Potok,2806b,Bërnjakë/Brnjak,"Shkolla Fillore ""Petar Kočić""","Osnovna Škola ""Petar Kočić""",,
6,28,Zubin Potok/Zubin Potok,2808b,Zupç/Zupče,"Shkolla Fillore ""Blagoje Radić""","Osnovna Škola ""Blagoje Radić""",,
7,28,Zubin Potok/Zubin Potok,2809b,Çabër/Čabra,"Shkolla Fillore ""Osaman Rama""","Osnovna Škola ""Osaman Rama""",,
8,28,Zubin Potok/Zubin Potok,2810b,Oklac/Oklace,Shtëpia e Shendetit,Dom Zdravlje,,
9,28,Zubin Potok/Zubin Potok,2813b,Velje Breg/Velji Breg,"Shkolla Fillore ""Jovan Cvijić""","Osnovna Škola ""Jovan Cvijić""",,
,28,Zubin Potok/Zubin Potok,2814b,Ceceva/Cecevo,"Shkolla Fillore ""Jovan Cvijić""","Osnovna Škola ""Jovan Cvijić""","Votuesit e këtyre 3 QV(2814b, 2815b,2816b) me rekomandim te KKZ-sW, Votimi do te behet në QV 2802b","Birači ovih 3 BC ( 2814b, 2815b, 2816b) na predlog OIK-a, glasanje će se zbaviti u BC 2802b"
,28,Zubin Potok/Zubin Potok,2815b,Ugljar/Ugljare,"Shkolla Fillore ""Jovan Cvijić""","Osnovna Škola ""Jovan Cvijić""",,
,28,Zubin Potok/Zubin Potok,2816b,Donji Jesenovik/ Jasenoviku i poshtem,"Shkolla Fillore ""Jovan Cvijić""","Osnovna Škola ""Jovan Cvijić""",,
1,29,Zvečan/Zveçan,2901b,Zvečan/Zveçan,"Shkolla Fillore ""Vuk Karadžić""","Osnovna Škola ""Vuk Karadžić""",,
2,29,Zvečan/Zveçan,2910b,Zhazha/Žaža,"Shkolla Fillore ""Isa Boletini""","Osnovna Škola ""Isa Boletini""",,
3,29,Zvečan/Zveçan,2911b,Lipë,"Shkolla Fillore ""Isa Boletini""","Osnovna Škola ""Isa Boletini""",,
4,29,Zvečan/Zveçan,2912b,Banjskë/Banjska,"Shkolla Fillore ""Banović Strahinja""","Osnovna Škola ""Banović Strahinja""",,
5,29,Zvečan/Zveçan,2913b,Zherovnicë/Zerovnica,"Shkolla Fillore ""Sveti Sava""","Osnovna Škola ""Sveti Sava""",,
