Nr/ Br,Kodi i Komunes Opstinski Kod,Komuna/Opstina,Qendra e Votimit 2014 Biracki Centar 2014,Qyteti/Vendi Grad/Mesto,Lokacioni detal,Detaljna Lokacija,,
6,6,Istog/Istok,0606c,Vrellë/Vrelo,"Shkolla Fillore ""Hysni Zajmi""","Osnovna Škola ""Hysni Zajmi""",,
7,6,Istog/Istok,0607c,Shushicë/Sušica,"Shkolla ""Mehmet Akif""","Škola ""Mehmet Akif""",,
8,6,Istog/Istok,0608c,Rakosh/Rakoš,"Shkolla ""Ndre Mjeda""","Škola ""Ndre Mjeda""",,
9,6,Istog/Istok,0613c,Uçë/Ukča,"Shkolla Fillore ""Tre Dëshmorët""","Osnovna Škola ""Tre Dëshmorët""",,
10,6,Istog/Istok,0618c,Osojan/Osojane,"Shkolla Fillore ""Radoš Tosić""","Osnovna Škola ""Radoš Tosić""",,
11,6,Istog/Istok,0619c,Saradran/Staradvorane,"Shkolla Fillore ""Ismail Qemali""","Osnovna Škola ""Ismail Qemali""",,
12,6,Istog/Istok,0620c,Cercë/Crnce,"Shkolla Fillore ""Bajram Curri""","Osnovna Škola ""Bajram Curri""",,
13,6,Istog/Istok,0621c,Kaliqan/Kaličane,"Shkolla Fillore ""Zymer Zeka""","Osnovna Škola ""Zymer Zeka""",,
14,6,Istog/Istok,0622c,Llukafec I Begut/Begov Lukavac,"Shkolla Fillore ""Fan Noli""","Osnovna Škola ""Fan Noli""",,
15,6,Istog/Istok,0623c,Cerkolez/Crkolez,"Shkolla Fillore ""Tre Deshmoret""","Osnovna Škola ""Tre Deshmoret""",,
1,7,Kaçanik/Kačanik,0701d,Kaçanik/Kačanik,"Shkolla Mesme ""Skenderbeu""","Srednja Škola ""Skenderbeu""",,
2,7,Kaçanik/Kačanik,0701x,Kaçanik/Kačanik,"Shkolla ""Emin Duraku""","Škola ""Emin Duraku""",,
3,7,Kaçanik/Kačanik,0702d,Glloboqicë/Globočica,"Shkolla Fillore ""Gafurr Luma""","Osnovna Škola ""Gafurr Luma""",,
4,7,Kaçanik/Kačanik,0703d,Kaçaniki Vjetër/Stari Kačanik,"Shkolla Fillore ""Qamil Ilazi""","Osnovna Škola ""Qamil Ilazi""",,
5,7,Kaçanik/Kačanik,0704d,Stagovë/Stagovo,"Shkolla Fillore ""Agim Bajrami""","Osnovna Škola ""Agim Bajrami""",,
6,7,Kaçanik/Kačanik,0705d,Biçec/Bićevac,"Shkolla Fillore ""Jusuf Gërvalla""","Osnovna Škola ""Jusuf Gërvalla""",,
7,7,Kaçanik/Kačanik,0706d,Dubravë/Dubrava,"Shkolla Fillore ""Kadri Zeka""","Osnovna Škola ""Kadri Zeka""",,
8,7,Kaçanik/Kačanik,0707d,Doganaj/Doganović,"Shkolla Fillore ""Ali Asllani""","Osnovna Škola ""Ali Asllani""",,
9,7,Kaçanik/Kačanik,0708d,Nikë/Nika,"Shkolla Fillore ""Jusuf Gervalla""","Osnovna skola""Jusuf Gërvalla""",,
10,7,Kaçanik/Kačanik,0710d,Ivajë/Ivaja,"Shkolla Fillore ""Dituria""","Osnovna Škola ""Dituria""",,
11,7,Kaçanik/Kačanik,0711d,Bajnicë/Bajnica,"Shkolla Fillore ""Nazmi Osmani""","Osnovna skola""Naymi Osmani""",,
12,7,Kaçanik/Kačanik,0712d,Elezaj/Eleza,"Shkolla Fillore ""Nazmi Osmani""","Osnovna Škola ""Nazmi Osmani""",,
13,7,Kaçanik/Kačanik,0713d,Begrace/Belograce,"Shkolla Fillore ""7 Shtatori""","Osnovna Škola ""7 Shtatori""",,
14,7,Kaçanik/Kačanik,0714d,Shtrazhë/Straz,"Shkolla Fillore ""Dituria""","Osnovna skola""Diruria""",,
15,7,Kaçanik/Kačanik,0715d,Kotline/Kotline,"Shkolla Fillore ""Naim Frasheri""","Osnovna Škola ""Naim Frasheri""",,
16,7,Kaçanik/Kačanik,0716d,Gajre/Gajra,"Shkolla Fillore ""Idriz Seferi""","Osnovna Škola ""Idriz Seferi""",,
17,7,Kaçanik/Kačanik,0717d,Gjurgjedell/Djurdjev Dol,"Shkolla Fillore ""Emin Duraku""","Osnovna Škola ""Emin Duraku""",,
18,7,Kaçanik/Kačanik,0718d,Korbliq/Korbulic,"Shkolla Fillore ""Emin Duraku""","Osnovna Škola ""Emin Duraku""",,
19,7,Kaçanik/Kačanik,0719d,Kovaçeci/Kovacevac,"Shkolla Fillore ""Idriz Seferi""","Osnovna Škola ""Idriz Seferi""",,
1,8,Klinë/Klina,0801c,Klinë/Klina,"Shkolla Fillore ""Ismet Raci""","Osnovna Škola ""Ismet Raci""",,
2,8,Klinë/Klina,0802c,Drenoc/Drenovac,"Shkolla Fillore ""Isa Boletini""","Osnovna Škola ""Isa Boletini""",,
3,8,Klinë/Klina,0803c,Sferkë/Svrhe,"Shkolla Fillore ""Emin Duraku""","Osnovna Škola ""Emin Duraku""",,
4,8,Klinë/Klina,0804c,Zllokuqan/Zlokučane,"Shkolla Fillore ""Shtjefën Gjeçovi""","Osnovna Škola ""Shtjefën Gjeçovi""",,
5,8,Klinë/Klina,0805c,Ujmir/Dobra Voda,"Shkolla Fillore ""Ali Krasniqi""","Osnovna Škola ""Ali Krasniqi""",,
6,8,Klinë/Klina,0806c,Budisafc/Budisavci,"Shkolla Fillore ""Nëna Terezë""","Osnovna Škola ""Nëna Terezë""",,
7,8,Klinë/Klina,0807c,Jashanicë e Poshtme/Donja Jošanica,"Shkolla Fillore ""Tre Dëshmorët""","Osnovna Škola ""Tre Dëshmorët""",,
8,8,Klinë/Klina,0808c,Gllarevë/Iglarevo,"Shkolla Fillore ""Dëshmorët e Qëndresës""","Osnovna Škola ""Dëshmorët e Qëndresës""",,
9,8,Klinë/Klina,0809c,Zajm/Zajmova,"Shkolla Fillore ""Motrat Qiriazi""","Osnovna skola""Motrat Qirazi""",,
10,8,Klinë/Klina,0811c,Grabanicë/Grabanica,"Shkolla Fillore ""Azem Bejta""","Osnovna Škola ""Azem Bejta""",,
11,8,Klinë/Klina,0813c,Binxhë/Biča,Qendra e Takimeve (Shtëpi),Centar Sastanke (Kuća),,
12,8,Klinë/Klina,0814c,Shtupeli/Stupelj,"Shkolla Fillore"" Avni Zhabota""","Osnovna Škola"" Avni Zhabota""",,
13,8,Klinë/Klina,0815c,Caravik/Cerovik,"Shkolla Fillore ""Esat Mekuli""","Osnovna Škola ""Esat Mekuli""",,
14,8,Klinë/Klina,0816c,Gremnik/Grebnik,"Shkolla Fillore "" Zgjimi""","Osnovna Škola "" Zgjimi""",,
15,8,Klinë/Klina,0817c,Kpuz/Kpuz,"Shkolla Fillore ""Azem Bejta""","Osnovna Škola ""Azem Bejta""",,
16,8,Klinë/Klina,0818c,Përqevë/Prćevo,"Shkolla Fillore ""Emin Duraku""","Osnovna Škola ""Emin Duraku""",,
17,8,Klinë/Klina,0819c,Videjë/Vidanje,Qendra për Grumbullimin e Qumështit,Centar za Sakupljanje Mleka,,
1,9,Fushë Kosovë/Kosovo Polje,0901e,Fushë Kosovë/Kosovo Polje,"Shkolla Fillore ""Selman Riza""","Škola ""Selman Riza""",,
